epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,1.274559660599782,0.37558651209672295,89.95000000406901,99.70833333333333,0.001
1,1.0228007591687716,0.3206336523532867,92.15833333740234,99.79833333333333,0.0009414213562373095
2,0.9631954919069241,0.24925358242988585,93.93333333740235,99.88333333333334,0.000882842712474619
3,0.9370329170654982,0.22738242932955424,95.07666667480468,99.89833333333333,0.0008242640687119286
4,0.905892250323907,0.22269052903652192,95.14166667073567,99.91666666666667,0.0007656854249492381
5,0.8901976232345288,0.22483051556746164,95.49333333333334,99.915,0.000702753952260129
6,0.8763774822919796,0.22117340001265207,96.12000000813802,99.95166666666667,0.000700844378624947
7,0.8755313268074623,0.20688580081065497,96.08166667073567,99.93666666666667,0.0006985920707135268
8,0.8603050641524486,0.1944359443505605,96.505000004069,99.94833333333334,0.0006959992512818526
9,0.8546838031365321,0.20061547791957854,96.14166667073567,99.94833333333334,0.0006930684791296686
10,0.8503968214377379,0.19180490300655365,96.63500000406901,99.94166666666666,0.0006898026465752525
11,0.8418945914659745,0.20083378403981528,96.655,99.95,0.0006862049766010469
12,0.838681064813565,0.18538470628261566,97.13333334147136,99.96166666666667,0.0006822790196729643
13,0.8304795734393291,0.20788474668661752,96.21166666666667,99.93333333333334,0.0006780286502365061
14,0.8262303607586102,0.19070217667420705,97.050000004069,99.965,0.0006734580628931531
15,0.8250725788947864,0.17748184824784596,97.0816666748047,99.95,0.0006685717682607991
16,0.8194435029457777,0.16578917033672333,97.49333333333334,99.96333333333334,0.0006633745885223169
17,0.8180888299758617,0.18540643751621247,97.25166666666667,99.95833333333333,0.0006578716526666453
18,0.809050877736165,0.1943082380215327,97.11000000813802,99.93333333333334,0.0006520683914270964
19,0.8100962331661812,0.17650847242673237,97.25333334147136,99.955,0.0006459705319218771
20,0.8070752217219426,0.162243186489741,97.27166666666666,99.97666666666667,0.000639584092002116
21,0.8026278349069449,0.17177795325915018,97.41666666666667,99.965,0.0006329153743129694
22,0.7981864634232644,0.1670557505607605,97.54166667073568,99.95666666666666,0.0006259709600736725
23,0.7997999348701574,0.1704136168162028,97.70333333740234,99.965,0.00061875770258267
24,0.7961241388932253,0.18457766603628795,97.01666667480468,99.94,0.0006112827204542388
25,0.7949268802618369,0.16283889014323552,97.69666667073568,99.95666666666666,0.0006035533905932738
26,0.786068475093597,0.15416315478483836,97.89500000813803,99.97,0.0005955773409151747
27,0.7882761686276167,0.1725248328447342,97.68333333740235,99.97333333333333,0.0005873624428180134
28,0.781675541248077,0.1541972724199295,97.985,99.95833333333333,0.0005789168034144152
29,0.7808801415639046,0.1600017398516337,97.79166667480469,99.96166666666667,0.0005702487575308172
30,0.7798257395243033,0.16199910371303558,97.89333333333333,99.95,0.0005613668594820006
31,0.7776354236480517,0.14706115565299988,98.355,99.96666666666667,0.000552279874629015
32,0.7742178718249003,0.14594954726696013,98.12166667480469,99.94666666666667,0.0005429967707288251
33,0.7724001532945878,0.14492463394403457,98.27333333333333,99.96166666666667,0.0005335267090842179
34,0.768580150604248,0.14573311847845713,98.39666667073568,99.96666666666667,0.0005238790355027022
35,0.766694998435485,0.15392853789329528,98.135,99.95666666666666,0.0005140632710733254
